symbol,listType,setup,window,height%,depth%,len,ctr,dist%,rating,close,pivot,entry,score,range%,vol%,rexp,shares,sl,T1,T2,T3
SHIVAUM.NS,WATCHLIST,RANGE_EXPANSION,Q1(90),42.2%,17.8%,90,1/2,0.15%,A+,360.00,360.55,361.63,133.0,17.8%,98.8%,9.18x,7,236.31,486.95,612.27,737.59
BANARISUG.NS,WATCHLIST,VCP,WEEK(12),9.3%,73.7%,12,2/2,5.48%,A+,3616.40,3826.00,3837.48,87.5,73.7%,79.7%,0.00x,2,3474.64,4200.32,4563.15,4925.99
CENTUM.NS,WATCHLIST,VCP,WEEK(20),25.0%,43.7%,20,2/2,1.20%,A,2929.30,2965.00,2973.89,68.2,43.7%,90.5%,0.00x,1,2276.56,3671.23,4368.56,5065.90
RANASUG.NS,WATCHLIST,VCP,WEEK(12),15.9%,57.5%,12,2/2,4.82%,A,11.84,12.44,12.48,68.2,57.5%,64.0%,0.00x,512,10.53,14.43,16.38,18.33
TORNTPOWER.NS,WATCHLIST,VCP,WEEK(12),13.0%,69.5%,12,2/2,2.62%,A,1483.70,1523.60,1528.17,63.2,69.5%,39.2%,0.00x,4,1326.53,1729.81,1931.44,2133.08
AVADHSUGAR.NS,WATCHLIST,VCP,WEEK(12),22.2%,31.8%,12,2/2,3.05%,B,441.10,455.00,456.36,60.1,31.8%,76.3%,0.00x,10,361.78,550.95,645.53,740.11
NELCAST.NS,WATCHLIST,VCP,WEEK(12),21.6%,48.6%,12,2/2,5.29%,B,122.08,128.90,129.29,60.1,48.6%,79.5%,0.00x,37,102.92,155.65,182.01,208.38
VTL.NS,WATCHLIST,VCP,WEEK(45),34.3%,74.1%,45,2/2,5.55%,B,528.85,559.90,561.58,57.3,74.1%,58.1%,0.00x,5,389.05,734.11,906.65,1079.18
INDSWFTLAB.NS,WATCHLIST,VCP,WEEK(15),18.5%,47.9%,15,2/2,5.89%,C,143.03,151.98,152.44,54.3,47.9%,75.1%,0.00x,36,125.37,179.50,206.57,233.63
NAHARSPING.NS,WATCHLIST,VCP,WEEK(45),35.8%,41.0%,45,2/2,4.71%,C,206.01,216.20,216.85,53.5,41.0%,67.0%,0.00x,14,148.45,285.24,353.64,422.03
GULPOLY.NS,WATCHLIST,VCP,WEEK(15),12.9%,55.5%,15,2/2,5.93%,C,156.82,166.70,167.20,52.8,55.5%,50.8%,0.00x,46,145.87,188.53,209.87,231.20
ARIES.NS,WATCHLIST,VCP,WEEK(12),13.5%,52.0%,12,2/2,5.96%,C,336.00,357.30,358.37,52.2,52.0%,41.8%,0.00x,20,310.49,406.25,454.14,502.02
OIL.NS,WATCHLIST,VCP,WEEK(12),10.9%,30.6%,12,2/2,4.87%,C,481.60,506.25,507.77,51.7,30.6%,64.2%,0.00x,17,452.13,563.41,619.05,674.69
LGEINDIA.NS,WATCHLIST,VCP,WEEK(30),14.2%,47.5%,30,2/2,3.97%,C,1547.50,1611.50,1616.33,51.4,47.5%,53.3%,0.00x,4,1385.04,1847.63,2078.92,2310.22
DRREDDY.NS,WATCHLIST,VCP,WEEK(15),8.9%,46.5%,15,2/2,2.95%,C,1297.90,1337.30,1341.31,48.9,46.5%,36.2%,0.00x,7,1215.09,1467.53,1593.75,1719.97
SPORTKING.NS,WATCHLIST,VCP,WEEK(30),19.3%,33.9%,30,2/2,2.58%,C,118.00,121.13,121.49,48.4,33.9%,60.4%,0.00x,44,99.01,143.97,166.46,188.94
PASHUPATI.NS,WATCHLIST,VCP,WEEK(30),27.0%,59.6%,30,2/2,3.58%,C,998.00,1035.05,1038.16,46.9,59.6%,46.8%,0.00x,3,776.10,1300.21,1562.27,1824.32
CPPLUS.NS,WATCHLIST,VCP,WEEK(20),20.5%,31.4%,20,2/2,2.67%,D,1712.10,1759.00,1764.28,43.0,31.4%,55.8%,0.00x,2,1420.86,2107.69,2451.11,2794.53
GALAPREC.NS,WATCHLIST,VCP,WEEK(15),15.2%,50.9%,15,2/2,1.86%,D,769.40,784.00,786.35,43.0,50.9%,17.9%,0.00x,8,667.84,904.86,1023.37,1141.88
WONDERLA.NS,WATCHLIST,VCP,WEEK(12),15.8%,46.0%,12,2/2,2.80%,D,525.75,540.90,542.52,42.2,46.0%,21.9%,0.00x,11,458.10,626.95,711.37,795.80
ATHERENERG.NS,WATCHLIST,VCP,Q2(120),37.8%,27.7%,120,1/2,2.89%,D,767.20,790.00,792.37,39.2,27.7%,64.0%,0.00x,3,531.83,1052.91,1313.45,1574.00
COALINDIA.NS,WATCHLIST,VCP,WEEK(15),13.4%,40.3%,15,2/2,1.30%,D,469.80,476.00,477.43,38.5,40.3%,16.2%,0.00x,15,413.92,540.94,604.44,667.95
POWERGRID.NS,WATCHLIST,VCP,WEEK(45),21.6%,49.9%,45,2/2,2.53%,D,303.80,311.70,312.64,35.8,49.9%,15.9%,0.00x,15,248.75,376.52,440.41,504.29
